code|description
09134210|combustible para motores diésel (0.2)
09134220|combustible para motores diésel (en 590)
09134230|biodiésel
09134231|biodiésel (b20)
09134232|biodiésel (b100)
09135000|aceites combustibles
09135100|petróleo para calefacción
09135110|aceites combustibles con bajo contenido de azufre
09200000|productos del petróleo, del carbón y de aceites minerales
09210000|preparados lubricantes
09211000|aceites lubricantes y agentes lubricantes
09211100|aceites para motores
09211200|aceites para compresores
09211300|aceites para turbinas
09211400|aceites para engranajes
09211500|aceites para reductores
09211600|aceites para sistemas hidráulicos y otros usos
09211610|líquidos para uso hidráulico
09211620|aceites de desmoldado
09211630|aceites anticorrosión
09211640|aceites para aislamiento eléctrico
09211650|líquidos de frenos
09211700|aceites blancos y parafinas líquidas
09211710|aceites blancos
09211720|parafinas líquidas
09211800|aceites de petróleo y preparados
09211810|aceites ligeros
09211820|aceites de petróleo
09211900|aceites lubricantes para motores de tracción
09220000|vaselina, ceras de petróleo y gasolinas especiales
09221000|vaselina y ceras de petróleo
09221100|vaselina
09221200|parafina
09221300|cera de petróleo
09221400|residuos de petróleo
09222000|gasolinas especiales
09222100|trementina mineral
09230000|petróleo (crudo)
09240000|productos derivados del carbón o de aceites minerales
09241000|esquistos bituminosos o petrolíferos
09242000|productos derivados del carbón
09242100|aceite de alquitrán
09300000|electricidad, calefacción, energías solar y nuclear
09310000|electricidad
09320000|vapor, agua caliente y productos afines
09321000|agua caliente
09322000|vapor
09323000|calefacción urbana
09324000|calefacción a larga distancia
09330000|energía solar
09331000|placas solares
09331100|captadores solares para la producción de calor
09331200|módulos solares fotovoltaicos
09332000|instalación solar
09340000|combustibles nucleares
09341000|uranio
09342000|plutonio
09343000|materiales radiactivos
09344000|radioisótopos
14000000|productos de la minería, de metales de base y productos afines
14200000|arena y arcilla
14210000|grava, arena, piedras machacadas y agregados
14211000|arena
14211100|arena natural
14212000|gránulos, gravilla, polvo de piedra, guijarros, grava, piedras partidas y machacadas, mezclas de piedra, mezclas arena-grava y demás agregados
14212100|guijarros y grava
14212110|grava
14212120|guijarros
14212200|agregados
14212210|mezcla arena-grava
14212300|piedra partida y machacada
14212310|balasto
14212320|granito machacado
14212330|basalto machacado
14212400|suelo
14212410|tierra vegetal
14212420|subsuelo
14212430|gravilla
14213000|macadán, macadán bituminoso y arenas bituminosas
14213100|macadán
