code|description
33162200|instrumentos de quirófano
33163000|tienda para uso médico
33164000|aparatos de celioscopia
33164100|colposcopio
33165000|aparatos de criocirugía y crioterapia
33166000|aparatos de dermatología
33167000|luces para quirófanos
33168000|aparatos de endoscopia y endocirugía
33168100|endoscopios
33169000|instrumentos quirúrgicos
33169100|láser quirúrgico
33169200|cestas para uso quirúrgico
33169300|carro para material quirúrgico
33169400|contenedores quirúrgicos
33169500|sistemas de localización y seguimiento quirúrgicos
33170000|anestesia y reanimación
33171000|instrumentos de anestesia y reanimación
33171100|instrumentos para anestesia
33171110|máscara para anestesia
33171200|instrumentos de reanimación
33171210|máscara para reanimación
33171300|bolsas o kits para inyección epidural
33172000|aparatos para anestesia y reanimación
33172100|aparatos para anestesia
33172200|aparatos para reanimación
33180000|asistencia funcional
33181000|dispositivos para hemodiálisis
33181100|aparatos de hemodiálisis
33181200|filtros para diálisis
33181300|monitor individual para hemodiálisis
33181400|unidad de diálisis
33181500|productos consumibles para uso renal
33181510|fluido renal
33181520|productos consumibles para diálisis renal
33182000|aparatos de ayuda cardíaca
33182100|desfibrilador
33182200|aparatos de estimulación cardíaca
33182210|marcapasos
33182220|válvulas cardíacas
33182230|ventrículo
33182240|partes y accesorios de marcapasos
33182241|pilas para marcapasos
33182300|aparatos de cirugía cardíaca
33182400|radiología cardíaca
33183000|aparatos de ayuda ortopédica
33183100|implantes ortopédicos
33183200|prótesis ortopédicas
33183300|aparatos para osteosíntesis
33184000|artículos y aparatos de prótesis
33184100|implantes quirúrgicos
33184200|prótesis vasculares
33184300|prótesis cardíacas
33184400|prótesis mamarias
33184410|prótesis mamarias internas
33184420|prótesis mamarias externas
33184500|endoprótesis coronarias
33184600|ojos artificiales
33185000|audífonos
33185100|partes y accesorios de audífonos
33185200|implante coclear
33185300|implante otorrinolaringológico
33185400|laringe artificial
33186000|unidad de circulación extracorpórea
33186100|oxigenador
33186200|calentadores de sangre y fluidos
33190000|instrumentos y aparatos médicos diversos
33191000|aparatos para esterilización, desinfección e higiene
33191100|esterilizador
33191110|autoclaves
33192000|mobiliario para uso médico
33192100|camas para uso médico
33192110|camas ortopédicas
33192120|camas de hospital
33192130|camas provistas de motor
33192140|divanes para sesiones psiquiátricas
33192150|camas terapéuticas
33192160|camillas
33192200|mesas para uso médico
33192210|mesas de reconocimiento médico
33192230|mesas de operaciones
33192300|mobiliario para uso médico, excepto camas y mesas
33192310|dispositivos de tracción o suspensión para camas de uso médico
33192320|soportes para recipientes de recogida de orina
33192330|lugares donde se realizan las transfusiones
33192340|mobiliario de quirófano, excepto mesas
33192350|locales destinados a cultivos con fines médicos
33192400|unidades odontológicas
33192410|sillones de dentista
33192500|tubos de ensayo
33192600|equipos elevadores para los servicios de atención sanitaria
33193000|sillas de ruedas y demás vehículos para inválidos y material asociado
33193100|sillas de ruedas y demás vehículos para inválidos
33193110|vehículos para inválidos
33193120|sillas de ruedas
33193121|sillas de ruedas con motor
33193200|partes y accesorios de sillas de ruedas y demás vehículos para inválidos
33193210|partes y accesorios de vehículos para inválidos
33193211|motores de vehículos para inválidos
33193212|dispositivos de dirección de vehículos para inválidos
33193213|dispositivos de mando de vehículos para inválidos
33193214|chasis de vehículos para inválidos
33193220|partes y accesorios de sillas de ruedas
33193221|almohadillas para sillas de ruedas
33193222|armazones para sillas de ruedas
33193223|asientos para sillas de ruedas
33193224|instrumentos y aparatos de transfusión e infusión
33193225|instrumentos y aparatos para infusión
33194000|instrumentos y aparatos de transfusión y perfusión
33194100|instrumentos y aparatos para perfusión
33194110|bombas de infusión
33194120|artículos para perfusión
33194200|instrumentos y aparatos para transfusión
33194210|instrumentos y aparatos para transfusión sanguínea
33194220|material para transfusión sanguínea
33195000|sistema de monitorización de los pacientes
33195100|monitores
33195110|monitores de respiración
33195200|puesto central de control
33196000|ayudas médicas
33196100|aparatos para las personas de avanzada edad
33196200|aparatos para minusválidos
33197000|equipo informático para uso médico
33198000|artículos de papel para hospital
33198100|compresas de papel
33198200|bolsas o envoltorios de papel para esterilización
33199000|vestuario médico
33600000|productos farmacéuticos
33610000|medicamentos para el aparato digestivo y el metabolismo
33611000|medicamentos contra los trastornos producidos por la hiperacidez
33612000|medicamentos contra los trastornos gastrointestinales funcionales
33613000|laxantes
33614000|antidiarreicos, antiinflamatorios y antiinfecciosos intestinales
33615000|antidiabéticos
33615100|insulina
33616000|vitaminas
33616100|provitaminas
33617000|suplementos minerales
33620000|medicamentos para la sangre, para los órganos hematopoyéticos y para el aparato cardiovascular
33621000|medicamentos para la sangre y para los órganos hematopoyéticos
33621100|antitrombóticos
33621200|antihemorrágicos
33621300|antianémicos
33621400|sustitutos del plasma y soluciones para infusión
33622000|medicamentos para el aparato cardiovascular
33622100|medicamentos usados en cardioterapia
33622200|hipotensores
33622300|diuréticos
33622400|vasoprotectores
33622500|antihemorroidales de uso tópico
33622600|betabloqueadores
33622700|bloqueadores de los canales de calcio
33622800|medicamentos que actúan sobre el sistema renina-angiotensina
33630000|medicamentos usados en dermatología y para el sistema muscular-esquelético
33631000|medicamentos usados en dermatología
33631100|antifúngicos usados en dermatología
33631110|ácidos salicílicos
33631200|emolientes y protectores
33631300|antipsoriásicos
33631400|antibióticos y quimioterápicos para uso en dermatología
33631500|corticosteroides usados en dermatología y en preparados dermatológicos
33631600|antisépticos y desinfectantes
33631700|preparados antiacné
33632000|medicamentos para el sistema muscular-esquelético
33632100|antiinflamatorios y antirreumáticos
33632200|miorrelajantes
33632300|antigotosos
33640000|medicamentos para el sistema genitourinario y hormonas
33641000|medicamentos para el sistema genitourinario y hormonas sexuales
33641100|antiinfecciosos y antisépticos ginecológicos
33641200|otros medicamentos ginecológicos
33641300|hormonas sexuales y moduladores genitales
33641400|anticonceptivos
33641410|anticonceptivos orales
33641420|anticonceptivos químicos
33642000|preparados hormonales sistémicos, excluidas las hormonas sexuales
33642100|hormonas hiposifiarias, hipotalámicas y análogas
33642200|corticoesteroides para uso sistémico
33642300|terapia tiroidea
33650000|antiinfecciosos generales para uso sistémico, vacunas, antineoplásicos e inmunomoduladores
33651000|antiinfecciosos generales para uso sistémico, vacunas
33651100|antibacterianos para uso sistémico
33651200|antimicóticos para uso sistémico
33651300|antimicobacterianos
33651400|antivirales para uso sistémico
33651500|inmunosueros e inmunoglobulinas
33651510|antisueros
33651520|inmunoglobulinas
33651600|vacunas
33651610|vacunas contra la difteria, el tétanos y la tos ferina
33651620|vacunas contra la difteria y el tétanos
33651630|vacunas bcg (liofilizadas)
33651640|vacunas "triple vírica" (sarampión, paperas, rubeola)
33651650|vacunas contra el tifus
33651660|vacunas contra la gripe
33651670|vacunas contra la polio
33651680|vacunas contra la hepatitis b
33651690|vacunas para la medicina veterinaria
33652000|agentes antineoplásicos e inmunomoduladores
33652100|agentes antineoplásicos
33652200|medicamentos usados en la terapia endocrina
33652300|inmunosupresores
33660000|medicamentos para el sistema nervioso y los órganos de los sentidos
33661000|medicamentos para el sistema nervioso
33661100|anestésicos
33661200|analgésicos
33661300|antiepilépticos
33661400|antiparkinsonianos
33661500|psicolépticos
33661600|psicoanalépticos
33661700|otros medicamentos del sistema nervioso
33662000|medicamentos para los órganos de los sentidos
33662100|medicamentos usados en oftalmología
33670000|medicamentos para el aparato respiratorio
33673000|medicamentos para enfermedades obstructivas de las vías respiratorias
33674000|medicamentos para la tos y el resfriado
33675000|antihistamínicos para empleo sistémico
33680000|artículos farmacéuticos
33681000|tetinas, chupetes y artículos similares para bebés
33682000|baldosas de caucho
33683000|amortiguadores de caucho
33690000|medicamentos diversos
33691000|productos antiparasitarios, insecticidas y repelentes
33691100|antiprotozoarios
33691200|antihelmínticos
33691300|ectoparasiticidas, incluidos los escabicidas, insecticidas y repelentes
33692000|soluciones medicinales
33692100|soluciones para infusiones
33692200|productos de nutrición parenteral
33692210|soluciones de nutrición parenteral
33692300|productos de nutrición enteral
33692400|soluciones para perfusiones
33692500|soluciones inyectables
33692510|fluidos intravenosos
33692600|soluciones galénicas
33692700|soluciones de glucosa
33692800|soluciones para diálisis
33693000|todos los demás productos terapéuticos
33693100|toxinas
33693200|sustitutos de la nicotina
33693300|tratamientos contra la adicción
33694000|medios de diagnóstico
33695000|todo los demás productos no terapéuticos
33696000|reactivos y medios de contraste
33696100|reactivos para determinación del grupo sanguíneo
33696200|reactivos para análisis de sangre
33696300|reactivos químicos
33696400|reactivos isotópicos
33696500|reactivos de laboratorio
33696600|reactivos para electroforesis
33696700|reactivos urológicos
33696800|medios de contraste para radiología
33697000|preparaciones médicas, excepto productos consumibles para uso odontológico
33697100|preparaciones para enemas
33697110|cementos para la reconstrucción de huesos
33698000|productos clínicos
33698100|cultivos microbiológicos
33698200|glándulas y sus extractos
33698300|sustancias pépticas
33700000|productos para la higiene personal
33710000|perfumes, artículos de tocador y preservativos
33711000|perfumes y productos de tocador
33711100|aguas de colonia
33711110|desodorantes
33711120|antitranspirantes
33711130|colonias
33711140|fragancias
33711150|agua de rosas
33711200|preparaciones para maquillaje
33711300|productos para manicura o pedicura
33711400|productos de belleza
33711410|bastoncillos de algodón
33711420|estuches de maquillaje
33711430|toallitas higiénicas desechables
33711440|bálsamo labial
33711450|tatuajes
33711500|productos para el cuidado de la piel
33711510|productos de protección solar
33711520|geles de baño
33711530|gorros de ducha
33711540|cremas o lociones de parafarmacia
33711600|preparaciones y artículos para el cabello
33711610|champús
33711620|peines
33711630|pelucas
33711640|estuchitos de tocador
33711700|artículos y preparados para la higiene bucal o dental
33711710|cepillos de dientes
33711720|pasta de dientes
33711730|mondadientes
33711740|baños bucales
33711750|enjuagues y otros productos refrescantes bucales
33711760|hilo dental
33711770|mordedores, anillos de dentición y chupetes para bebés
33711780|tabletas para limpieza de dentaduras postizas
33711790|estuche de higiene dental
33711800|preparados para el afeitado
33711810|cremas de afeitar
33711900|jabón
33712000|preservativos
33713000|productos para el cuidado de los pies
33720000|cuchillas y estuches de manicura o pedicura
33721000|navajas
33721100|hojas de afeitar
33721200|máquinas de afeitar
33722000|juegos para manicura o pedicura
33722100|estuches de manicura
33722110|instrumental de manicura
33722200|estuches de pedicura
33722210|instrumental de pedicura
33722300|coleteros
33730000|productos para el cuidado de los ojos y lentes correctoras
33731000|lentes de contacto
33731100|lentes correctoras
33731110|lentes intraoculares
33731120|lentes para gafas
33732000|soluciones para lentes de contacto
33733000|gafas de sol
33734000|gafas
33734100|monturas de gafas
33734200|cristal para lentes de gafas
33735000|anteojos de protección
33735100|gafas protectoras
33735200|monturas de gafas protectoras
33740000|productos para el cuidado de manos y uñas
33741000|productos para el cuidado de las manos
33741100|jabón de manos
33741200|lociones de manos o corporal
33741300|antiséptico para manos
33742000|productos para el cuidado de las uñas
33742100|cortaúñas
33742200|esmalte de uñas
33750000|productos para el cuidado del bebé
33751000|pañales desechables
33752000|protectores de lactancia
33760000|papel higiénico, pañuelos, toallas y servilletas
33761000|papel higiénico
33762000|pañuelos de papel
33763000|toallas de papel
33764000|servilletas de papel
33770000|artículos de papel para uso sanitario e higiénico
33771000|productos de papel para uso sanitario
33771100|compresas higiénicas o tampones
33771200|forros de pañales de papel
33772000|productos desechables de papel
33790000|artículos de vidrio para laboratorio, higiene o farmacia
33791000|artículos de vidrio para la higiene
33792000|artículos de vidrio para uso farmacéutico
33793000|artículos de vidrio para laboratorio
33900000|equipo y material para institutos anatómico-forenses y depósitos de cadáveres
33910000|instrumental y material para disección anatomopatológica
33911000|tijeras de autopsia
33912000|instrumental de disección para autopsia
33912100|pinzas de disección para autopsia
33913000|sondas para extracción de proyectiles en autopsia
33914000|hilo, agujas y pinzas de sutura para cadáveres
33914100|hilo de sutura para cadáveres
33914200|agujas de sutura para cadáveres
33914300|pinzas de sutura para cadáveres
33915000|sondas acanaladas para autopsia
33916000|hojas o accesorios para sierras de autopsia
33916100|sierras de autopsia
33917000|mesas o "pads" de disección
33918000|maletines para accesorios o instrumental de cirugía en cadáveres
33919000|estuches enrollables para accesorios o instrumental de cirugía en cadáveres
33920000|equipo y suministros para autopsia
33921000|aspiradores de polvo óseo
33922000|bolsas para transporte de cadáveres
33923000|reposacabezas, tableros para cadáveres y balanzas colgantes para autopsia
33923100|reposacabezas para autopsia
33923200|tableros de apoyo del cadáver para autopsia
33923300|balanzas colgantes para autopsia
33924000|equipo de prevención de enfermedades infecciosas en cadáveres
33925000|pulseras o etiquetas de identificación de cadáveres
33926000|tubos o aspiradores al vacío para la recogida de líquidos de autopsia
33927000|termómetros rectales para cadáveres
33928000|enderezadores de dedo para cadáveres
33929000|maletines de regeneración del tejido dactilar en cadáveres
33930000|mobiliario para autopsia
33931000|mesas o accesorios para autopsia macroscópica
33932000|pilas o accesorios para autopsia
33933000|mesas o accesorios para autopsia
33933100|mesas de autopsia
33934000|mesas o accesorios para necropsia
33935000|mesas o accesorios para la disección de cadáveres de animales
33936000|mesas o accesorios para embalsamamiento
33937000|mesas para autopsia con evacuación descendente, o accesorios
33940000|equipos y material para el transporte y depósito de cadáveres
33941000|estanterías para el depósito de cadáveres
33942000|carros portacadáveres
33943000|carros elevacadáveres de tijera
33944000|arcones frigoríficos o congeladores para depósitos de cadáveres
33945000|cámaras frigoríficas para depósitos de cadáveres
33946000|carros de autopsia
33947000|bandejas portacadáveres
33948000|dispositivos para la elevación o traslado de cadáveres
33949000|contenedores para transporte de cuerpos
33950000|equipo y material para medicina legal
33951000|material de necroidentificación
33952000|mascarillas antiputrefacción
33953000|material de detección de sangre en cadáveres
33954000|maletín de toma de muestras biológicas
33960000|equipo y material de embalsamamiento
33961000|inyectores intracavitarios para embalsamamiento
33962000|tubos de drenaje venoso para embalsamamiento
33963000|líquidos y productos químicos para embalsamamiento
33964000|tubos inyectores para embalsamamiento
33965000|pilas de embalsamamiento y sus accesorios
33966000|maletines de embalsamamiento
33967000|agujas de inyector para embalsamamiento
33968000|cápsulas oculares para embalsamamiento
33970000|equipo y material para cadáveres
33971000|indumentaria para cadáveres
33972000|bolsas para cadáveres
33973000|mortajas
33974000|aspiradores mortuorios
33975000|compuestos endurecedores para cadáveres
34000000|equipos de transporte y productos auxiliares
34100000|vehículos de motor
34110000|automóviles para pasajeros
34111000|automóviles "familiares" ac (break) y "berlinas" aa (turismos)
34111100|breaks
34111200|automóviles de turismo
34113000|vehículos con tracción a las cuatro ruedas
34113100|jeeps
34113200|vehículos todoterreno
34113300|vehículos de doble tracción
34114000|vehículos especiales
34114100|vehículos de emergencia
34114110|vehículos de salvamento
34114120|vehículos paramédicos
34114121|ambulancias
34114122|vehículos para transporte de pacientes
34114200|automóviles de policía
34114210|vehículos celulares
34114300|vehículos para servicios de asistencia social
34114400|minibuses
34115000|otros automóviles para pasajeros
34115200|vehículos de motor para el transporte de menos de diez personas
34115300|vehículos de transporte usados
34120000|vehículos de motor para el transporte de diez o más personas
34121000|autobuses y autocares
34121100|autobuses de servicio público
34121200|autobuses articulados
34121300|autobuses de dos pisos
34121400|autobuses de plataforma rebajada
34121500|autocares
34130000|vehículos de motor para el transporte de mercancías
34131000|furgonetas con caja abierta ("pick-ups")
34132000|mototrineos
34133000|camiones articulados
34133100|camiones cisterna
34133110|camiones cisterna para el transporte de combustible
34134000|camiones con plataforma y camiones basculantes
34134100|camiones con plataforma
34134200|camiones basculantes
34136000|camionetas
34136100|camionetas ligeras
34136200|camioneta con caja metálica
34137000|vehículos usados para el transporte de mercancías
34138000|tractores de carretera
34139000|chasis
34139100|chasis con cabina
34139200|chasis con carrocería
34139300|chasis completos
34140000|vehículos pesados
34142000|camiones grúa y camiones volquete
34142100|camiones con plataforma elevadora
34142200|cargadores de hormigonera
34142300|camiones volquete
34143000|vehículos de vialidad invernal
34144000|vehículos de motor para usos especiales
34144100|torres de perforación móviles
34144200|vehículos para servicios de emergencia
34144210|vehículos de extinción de incendios
34144211|camiones con escalera giratoria
34144212|vehículos autobomba
34144213|vehículos de lucha contra incendios
34144220|vehículos de reparación de averías
34144300|puentes móviles
34144400|vehículos para el mantenimiento de carreteras
34144410|vehículos para el vaciado de sumideros
34144420|esparcidores de sal
34144430|barrederas viales automóviles
34144431|barrederas-aspiradoras automóviles
34144440|vehículos esparcidores de gravilla
34144450|vehículos de riego
34144500|vehículos para desperdicios y aguas residuales
34144510|vehículos para desperdicios
34144511|vehículos de recogida de basuras
34144512|vehículos compactadores de basuras
34144520|camiones cisterna para aguas residuales
34144700|vehículos utilitarios
34144710|cargadoras sobre ruedas
34144730|vehículos de repostaje de aviones
34144740|tractores de avión
34144750|portacargas
34144751|carretillas pórtico
34144760|bibliobuses
34144800|caravanas
34144900|vehículos eléctricos
34144910|autobuses eléctricos
34150000|simuladores
34151000|simuladores de conducción
34152000|simuladores de entrenamiento
34200000|carrocerías para vehículos, remolques o semirremolques
34210000|carrocerías para vehículos
34211000|carrocerías para autobuses, ambulancias y vehículos de transporte de mercancías
34211100|carrocerías para autobuses
34211200|carrocerías para ambulancias
34211300|carrocerías para vehículos de transporte de mercancías
34220000|remolques, semirremolques y contenedores móviles
34221000|contenedores móviles para usos especiales
34221100|unidades móviles para incidentes
34221200|unidades móviles para emergencias
34221300|unidad de intervención en caso de accidente químico
34223000|remolques y semirremolques
34223100|semirremolques
34223200|camiones para repostar
34223300|remolques
34223310|remolques de uso general
34223320|remolques para transporte de caballos
34223330|unidades móviles sobre remolques
34223340|remolques cisterna
34223350|remolques con escalera giratoria
34223360|remolques de repostaje
34223370|remolques volquete
34223400|remolques y semirremolques del tipo caravana
34224000|partes de remolques, semirremolques y otros vehículos
34224100|partes de remolques y semirremolques
34224200|partes de otros vehículos
34300000|partes y accesorios para vehículos y sus motores
34310000|motores y piezas de motores (vehículos)
34311000|motores (vehículos)
34311100|motores de combustión interna para vehículos de motor y motocicletas
34311110|motores de encendido por chispa
34311120|motores de encendido por compresión
34312000|partes de motores
34312100|correas de ventilador
34312200|bujías de encendido
34312300|radiadores para vehículos
34312400|pistones
34312500|juntas de estanqueidad
34312600|bandas transportadoras de caucho
34312700|correas de transmisión de caucho
34320000|piezas de recambio mecánicas, excepto motores y partes de motores
34321000|ejes y cajas de cambio
34321100|ejes
34321200|cajas de cambio
34322000|frenos y partes de frenos
34322100|equipo de frenado
34322200|frenos de disco
34322300|guarniciones de freno
34322400|cojinetes de freno
34322500|zapatas de freno
34324000|ruedas, sus partes y accesorios
34324100|equipo de equilibrado de ruedas
34325000|silenciadores y tubos de escape
34325100|silenciadores
34325200|tubos de escape
34326000|gatos para automóviles, embragues y sus partes
34326100|embragues y sus partes
34326200|gatos para automóviles
34327000|volantes, columnas y cajas de dirección
34327100|volantes
34327200|columnas y cajas de dirección
34328000|bancos de prueba, kits de conversión de vehículos y cinturones de seguridad
34328100|bancos de prueba
34328200|kits para conversión de vehículos
34328300|cinturones de seguridad
34330000|repuestos para vehículos de transporte de mercancías, camionetas y automóviles
34350000|neumáticos para vehículos ligeros y para vehículos pesados
34351000|neumáticos para vehículos ligeros
34351100|neumáticos para automóviles
34352000|neumáticos para vehículos pesados
34352100|neumáticos para camiones
34352200|neumáticos para autobuses
34352300|neumáticos para uso agrario
34360000|asientos para aeronaves civiles
34370000|asientos para vehículos de motor
34390000|accesorios para tractor
34400000|motocicletas, bicicletas y sidecares
34410000|motocicletas
34411000|partes y accesorios para motocicletas
34411100|sidecares para motocicletas
34411110|partes y accesorios de sidecares para motocicleta
34411200|neumáticos para motocicletas
34420000|motocicletas ligeras y bicicletas con motor auxiliar
34421000|motocicletas ligeras
34422000|bicicletas con motor auxiliar
34430000|bicicletas
34431000|bicicletas sin motor
34432000|partes y accesorios para bicicletas
34432100|neumáticos para bicicletas
34500000|buques y barcos
34510000|buques
34511100|patrulleros para la marina
34512000|buques y embarcaciones similares para el transporte de personas o mercancías
34512100|transbordadores
34512200|buques para cruceros
34512300|graneleros
34512400|buques de carga
34512500|buques de mercancías
34512600|buques portacontenedores
34512700|buques para transporte ro-ro
34512800|buques cisterna
34512900|buques para transporte de automóviles
34512950|buques frigoríficos
34513000|barcos pesqueros, barcos de emergencia y demás barcos especiales
34513100|barcos pesqueros
34513150|buques factoría
34513200|barcos remolcadores
34513250|dragas
34513300|diques flotantes para navegación marítima
34513350|embarcaciones auxiliares de buceo
34513400|pontones grúa
34513450|barcos de producción
34513500|barcos de reconocimiento sísmico
34513550|barcos exploradores
34513600|barcos de control de la contaminación
34513650|naves del servicio antiincendio
34513700|barcos de salvamento
34513750|buques faro
34514000|plataformas flotantes o sumergibles de perforación o explotación
34514100|barcos de sondeo
34514200|plataformas de perforación autoelevadoras
34514300|plataformas elevadoras de perforación
34514400|plataformas de perforación flotantes
34514500|instalación de producción flotante
34514600|plataformas de sondeo semisumergibles
34514700|plataforma móvil
34514800|plataforma flotante
34514900|plataformas de perforación
34515000|estructuras flotantes
34515100|boyas baliza
34515200|balsas inflables
34516000|defensas marinas
34520000|barcos
34521000|barcos especializados
34521100|barcos de vigilancia
34521200|barcos patrulleros aduaneros
34521300|barcos patrulleros policiales
34521400|botes salvavidas
34522000|barcos de recreo y deportivos
34522100|barcos a vela
34522150|catamaranes a vela
34522200|botes de salvamento
34522250|botes a vela
34522300|embarcaciones pequeñas
34522350|botes de fibra de vidrio
34522400|botes semirrígidos
34522450|embarcaciones neumáticas
34522500|botes de caucho
34522550|canoas
34522600|barcos de remos
34522700|embarcaciones de pedales
34600000|locomotoras de ferrocarril y de tranvía, material móvil y sus partes
34610000|locomotoras y ténderes
34611000|locomotoras
34612000|ténderes y funiculares
34612100|ténderes
34612200|funiculares
34620000|material móvil
34621000|vehículos de mantenimiento o de servicio para ferrocarril, y vagones de carga
34621100|vagones de carga
34621200|vehículos de mantenimiento o de servicio para ferrocarril
34622000|coches de pasajeros de tren y tranvía, y trolebuses
34622100|coches de pasajeros de tranvía
34622200|coches de pasajeros de tren
34622300|trolebuses
34622400|vagones de ferrocarril
34622500|furgones de equipaje y para usos especiales
34630000|partes de locomotoras de ferrocarril o tranvía o material móvil; equipo de control del tráfico de ferrocarriles
34631000|partes de locomotoras o material móvil
34631100|ruedas monobloque
34631200|topes y enganches
34631300|asientos para material móvil
34631400|ejes de ruedas y neumáticos, y otras partes de locomotoras o de material móvil
34632000|equipo de control del tráfico de ferrocarriles
34632100|señalización mecánica
34632200|equipo eléctrico de señalización para vías férreas
34632300|instalaciones eléctricas para vías férreas
34640000|elementos automotores
34700000|aeronaves y naves espaciales
34710000|helicópteros, aviones, naves espaciales y otras aeronaves propulsadas
34711000|helicópteros y aviones
34711100|aviones
34711110|aeronaves de ala fija
34711200|aeronaves sin piloto
34711300|aeronaves pilotadas
34711400|aeronaves para usos especiales
34711500|helicópteros
34712000|naves espaciales, satélites y vehículos de lanzamiento
34712100|vehículos espaciales
34712200|satélites
34712300|lanzadores de vehículos espaciales
34720000|globos aerostáticos, dirigibles y otras aeronaves sin propulsión
34721000|planeadores
34721100|alas delta
34722000|globos aerostáticos y dirigibles
34722100|globos aerostáticos
34722200|dirigibles
34730000|partes de aeronaves, naves espaciales y helicópteros
34731000|partes de aeronaves
34731100|motores de avión
34731200|turborreactores
34731300|turbopropulsores
34731400|motores de reacción
34731500|partes de motores de aeronaves
34731600|partes de turborreactores o turbopropulsores
34731700|partes de helicópteros
34731800|neumáticos para aviones
34740000|equipamiento, entrenadores, simuladores de vuelo y sus partes para aeronaves o naves espaciales
34741000|equipo relacionado con aeronaves
34741100|dispositivos de lanzamiento de aeronaves
34741200|sistemas de lanzamiento de aeronaves
34741300|dispositivos de frenado sobre cubierta de buques portaaviones
34741400|simuladores de vuelo
34741500|entrenadores de vuelo en tierra
34741600|bolsas para el mareo
34900000|medios de transporte y piezas de recambio diversos
34910000|carros de tracción animal o manual, otros vehículos sin propulsión mecánica, carritos para equipaje y piezas de recambio diversas
34911000|carros de tracción animal o manual y otros vehículos sin propulsión mecánica
34911100|carritos manuales
34912000|carritos para equipaje
34912100|cochecitos de niño
34913000|piezas de recambio diversas
34913100|neumáticos usados
34913200|neumáticos recauchutados
34913300|guardabarros
34913400|relojes para vehículos
34913500|cerraduras para vehículos
34913510|candados de bicicleta
34913600|hélices para buques
34913700|escaleras de vehículos contra incendios
34913800|anclas
34920000|equipo para carreteras
34921000|equipo de mantenimiento de carreteras
34921100|barrederas viales
34921200|barrederas de pistas
34922000|equipo de señalización de carreteras
34922100|marcas viales
34922110|esferillas de vidrio para la señalización horizontal
34923000|equipo de control del tráfico rodado
34924000|señales de mensaje variable
34926000|equipo de control de aparcamientos
34927000|equipo para peajes
34927100|sal para carreteras
34928000|mobiliario para carreteras
34928100|barreras de protección
34928110|medianas
34928120|componentes para barreras
34928200|vallas
34928210|postes de madera
34928220|componentes para cercas
34928230|pantallas acústicas viales
34928300|barreras de seguridad
34928310|vallado de seguridad
34928320|guardarraíles
34928330|dispositivos de protección contra avalanchas
34928340|barreras paranieves
34928400|mobiliario urbano
34928410|balizas
34928420|luces indicadoras de peligro en carreteras
34928430|conos de seguridad
34928440|postes de parada de autobús
34928450|hitos luminosos
34928460|conos de carretera
34928470|señalización
34928471|materiales de señalización
34928472|postes indicadores
34928480|contenedores y cubos de residuos y basura
34928500|equipo de alumbrado de calles
34928510|farolas para el alumbrado de calles
34928520|postes de alumbrado
34928530|lámparas de alumbrado público
34929000|materiales para la red de autopistas
34930000|equipo marino
34931000|equipo portuario
34931100|instalaciones portuarias
34931200|pasarelas de embarque de pasajeros para embarcaciones
34931300|escaleras de embarque de pasajeros para embarcaciones
34931400|simuladores de puente de buque
34931500|equipo de control del tráfico de buques
34932000|equipos de radar
34933000|equipo de navegación
34934000|palas de hélices
34940000|equipo ferroviario
34941000|raíles y accesorios
34941100|varillas
34941200|raíles de vías férreas
34941300|raíles de tranvía
34941500|crucetas
34941600|vías de cruzamiento
34941800|empalmes de vía férrea
34942000|equipo de señalización
34942100|postes de señalización
34942200|cajas de señalización
34943000|sistema de monitorización del tráfico ferroviario
34944000|sistema de calefacción de agujas
34945000|máquinas para alineación de vías
34946000|materiales y suministros para la construcción de vías férreas
34946100|materiales de construcción de vías férreas
34946110|raíles
34946120|material ferroviario
34946121|bridas y placas de asiento
34946122|contracarriles
34946200|materiales para la construcción de vías férreas
34946210|carriles conductores de corriente
34946220|agujas, puntas de corazón, varillas para el mando de agujas y demás elementos para el cruce y cambio de vías
34946221|agujas
34946222|puntas de corazón
34946223|varillas para el mando de agujas
34946224|elementos para el cruce y cambio de vías
34946230|bridas de unión, placas y tirantes de separación
34946231|bridas de unión
34946232|placas y tirantes de separación
34946240|cojinetes y cuñas
34947000|traviesas y partes de traviesas
34947100|traviesas
34947200|partes de traviesas
34950000|equipamiento con amplia capacidad de carga
34951000|plataformas de acceso
34951200|equipo de manipulación de lodos
34951300|instalación de secado de lodos
34952000|elevadores hidráulicos de plataforma
34953000|rampas de acceso
34953100|rampas para transbordador
34953300|pasarelas para pasajeros
34954000|pasarelas de servicio
34955000|dique flotante
34955100|unidad de almacenamiento flotante
34960000|equipo aeroportuario
34961000|sistema de manipulación de equipajes
34961100|equipo de manipulación de equipajes
34962000|equipo de control de tráfico aéreo
34962100|equipo de torre de control
34962200|control del tráfico aéreo
34962210|simulación de control del tráfico aéreo
34962220|sistemas de control del tráfico aéreo
34962230|formación para el control del tráfico aéreo
34963000|sistema de aterrizaje por instrumentos (ils)
34964000|radiofaro omnidireccional vhf doppler (dvor)
34965000|equipo radiotelemétrico (dme)
34966000|radiogoniómetro y radiofaro no direccional
34966100|radiogoniómetro (rdf)
34966200|radiofaro no direccional (ndb)
34967000|sistema de comunicación aeroportuaria (com)
34968000|sistema de vigilancia aeroportuaria y sistema de iluminación aeroportuaria
34968100|sistema de vigilancia aeroportuaria (sur)
34968200|sistema de iluminación aeroportuaria (papi)
34969000|pasarelas y escaleras de embarque de pasajeros para aeronaves
